trip_id,arrival_time,stop_id,stop_name,service_id,trip_headsign
1705,213045,U1000Z101,Letňany,5,Letňany
1706,213735,U1000Z102,Letňany,5,Háje
1706,213950,U603Z102,Prosek,5,Háje
1706,214130,U332Z102,Střížkov,5,Háje
1706,214335,U78Z102,Ládví,5,Háje
1706,214545,U675Z102,Kobylisy,5,Háje
1706,214855,U115Z102,Nádraží Holešovice,5,Háje
1706,215045,U100Z102,Vltavská,5,Háje
1706,215240,U689Z122,Florenc - C,5,Háje
1706,215425,U142Z102,Hlavní nádraží,5,Háje
1706,215535,U400Z122,Muzeum - C,5,Háje
1706,215715,U190Z102,I. P. Pavlova,5,Háje
1706,215915,U527Z102,Vyšehrad,5,Háje
1706,220045,U597Z102,Pražského povstání,5,Háje
1706,220215,U385Z102,Pankrác,5,Háje
1706,220355,U50Z102,Budějovická,5,Háje
1706,220530,U228Z102,Kačerov,5,Háje
1706,220740,U601Z102,Roztyly,5,Háje
1706,220930,U52Z102,Chodov,5,Háje
1706,221130,U106Z102,Opatov,5,Háje
1706,221325,U286Z102,Háje,5,Háje
1707,222415,U286Z101,Háje,5,Letňany
1707,222545,U106Z101,Opatov,5,Letňany
1707,222745,U52Z101,Chodov,5,Letňany
1707,222940,U601Z101,Roztyly,5,Letňany
1707,223135,U228Z101,Kačerov,5,Letňany
1707,223315,U50Z101,Budějovická,5,Letňany
1707,223455,U385Z101,Pankrác,5,Letňany
1707,223635,U597Z101,Pražského povstání,5,Letňany
1707,223805,U527Z101,Vyšehrad,5,Letňany
1707,224010,U190Z101,I. P. Pavlova,5,Letňany
1707,224150,U400Z121,Muzeum - C,5,Letňany
1707,224310,U142Z101,Hlavní nádraží,5,Letňany
1707,224450,U689Z121,Florenc - C,5,Letňany
1707,224650,U100Z101,Vltavská,5,Letňany
1707,224830,U115Z101,Nádraží Holešovice,5,Letňany
1707,225135,U675Z101,Kobylisy,5,Letňany
1707,225330,U78Z101,Ládví,5,Letňany
1707,225545,U332Z101,Střížkov,5,Letňany
1707,225725,U603Z101,Prosek,5,Letňany
1707,225955,U1000Z101,Letňany,5,Letňany
1708,230405,U1000Z102,Letňany,5,Háje
1708,230620,U603Z102,Prosek,5,Háje
1708,230800,U332Z102,Střížkov,5,Háje
1708,231005,U78Z102,Ládví,5,Háje
1708,231215,U675Z102,Kobylisy,5,Háje
1708,231525,U115Z102,Nádraží Holešovice,5,Háje
1708,231715,U100Z102,Vltavská,5,Háje
1708,231910,U689Z122,Florenc - C,5,Háje
1708,232055,U142Z102,Hlavní nádraží,5,Háje
1708,232205,U400Z122,Muzeum - C,5,Háje
1708,232345,U190Z102,I. P. Pavlova,5,Háje
1708,232545,U527Z102,Vyšehrad,5,Háje
1708,232715,U597Z102,Pražského povstání,5,Háje
1708,232845,U385Z102,Pankrác,5,Háje
1708,233025,U50Z102,Budějovická,5,Háje
1708,233200,U228Z102,Kačerov,5,Háje
1708,233410,U601Z102,Roztyly,5,Háje
1708,233600,U52Z102,Chodov,5,Háje
1708,233800,U106Z102,Opatov,5,Háje
1708,233955,U286Z102,Háje,5,Háje
1709,234415,U286Z101,Háje,5,Letňany
1709,234545,U106Z101,Opatov,5,Letňany
1709,234745,U52Z101,Chodov,5,Letňany
1709,234940,U601Z101,Roztyly,5,Letňany
1709,235135,U228Z101,Kačerov,5,Letňany
1709,235315,U50Z101,Budějovická,5,Letňany
1709,235455,U385Z101,Pankrác,5,Letňany
1709,235635,U597Z101,Pražského povstání,5,Letňany
1709,235805,U527Z101,Vyšehrad,5,Letňany
1709,240010,U190Z101,I. P. Pavlova,5,Letňany
1709,240150,U400Z121,Muzeum - C,5,Letňany
1709,240310,U142Z101,Hlavní nádraží,5,Letňany
1709,240450,U689Z121,Florenc - C,5,Letňany
1709,240650,U100Z101,Vltavská,5,Letňany
1709,240830,U115Z101,Nádraží Holešovice,5,Letňany
1709,241135,U675Z101,Kobylisy,5,Letňany
1709,241330,U78Z101,Ládví,5,Letňany
1709,241545,U332Z101,Střížkov,5,Letňany
1709,241725,U603Z101,Prosek,5,Letňany
1709,241955,U1000Z101,Letňany,5,Letňany
1710,45405,U1000Z102,Letňany,5,Háje
1710,45620,U603Z102,Prosek,5,Háje
1710,45800,U332Z102,Střížkov,5,Háje
1710,50005,U78Z102,Ládví,5,Háje
1710,50215,U675Z102,Kobylisy,5,Háje
1710,50525,U115Z102,Nádraží Holešovice,5,Háje
1710,50715,U100Z102,Vltavská,5,Háje
1710,50910,U689Z122,Florenc - C,5,Háje
1710,51055,U142Z102,Hlavní nádraží,5,Háje
1710,51205,U400Z122,Muzeum - C,5,Háje
